task,measure,ce,bacc,auc,logloss,mcc,k,distance,kernel
APSFailure,auc,0.00932894736842105,0.767802786607304,0.982230720619,0.0386480327985846,0.694494583435359,4.60069494360351,1.05209211166948,biweight
APSFailure,bacc,0.00828947368421053,0.845810781961778,0.845810781961778,0.286308278010445,0.750223371117875,0.132704449071365,1.00247780885547,cos
APSFailure,ce,0.00714473684210526,0.835327202165887,0.968381537809185,0.0529166244544714,0.778122186180748,3.34044746076874,1.04956344235688,triweight
APSFailure,logloss,0.00803947368421053,0.806650772224533,0.980783916976189,0.0388918549756372,0.744381279284353,4.46423329577317,1.11733256280422,triweight
APSFailure,mcc,0.00723684210526316,0.83098907450005,0.974346239858624,0.0463177482066485,0.774521552129366,3.62401769058204,1.06347076687962,triweight
Amazon_employee_access,auc,0.053221000848404,0.60958096527771,0.842381368868063,0.307832386429969,0.350508783706077,4.24499738164856,1.73959788773209,triweight
Amazon_employee_access,bacc,0.0594769554183652,0.646338236909552,0.757618183513803,1.03716636026217,0.357881588820971,1.71305483129843,1.11375102493912,biweight
Amazon_employee_access,ce,0.0515731801511478,0.613177709192117,0.823602449578857,0.459361622004152,0.370553308540468,2.86203421516041,2.55729665468136,gaussian
Amazon_employee_access,logloss,0.0554182627801792,0.541372598589044,0.838688578043685,0.191956831951862,0.225722247667225,4.61344614374101,2.4018538640812,gaussian
Amazon_employee_access,mcc,0.0537702650992245,0.639972626855314,0.838733057654365,0.431862431694427,0.383962713726413,3.48447438565613,2.1629119021818,triweight
Australian,auc,0.130434782608696,0.861212398241261,0.928867412534645,0.349352044774939,0.739354947606673,3.95546816063209,1.14958518370986,gaussian
Australian,bacc,0.127536231884058,0.864545731574594,0.923751396688578,0.481704590073513,0.744784114704015,3.7183988689227,1.43300178059687,cos
Australian,ce,0.12463768115942,0.868122415219189,0.925032287086616,0.346991470221112,0.749794705080138,4.60426383326619,1.06247365381569,triweight
Australian,logloss,0.126086956521739,0.866509511993383,0.92537358698649,0.346173134389507,0.746895368531832,4.61003161840924,1.00813724473119,triweight
Australian,mcc,0.126086956521739,0.865861521048278,0.925543946715424,0.351672886635195,0.74858256319356,4.46556053287544,1.45298093091697,biweight
Bioresponse,auc,0.227670921985816,0.768615599843674,0.848153211572337,0.813250332119189,0.540513858426295,2.33046143876686,1.03330658562481,inv
Bioresponse,bacc,0.218341843971631,0.777901680727441,0.845553602073647,0.513100351340115,0.55919022273864,3.51056409054633,1.02955204062164,biweight
Bioresponse,ce,0.219142553191489,0.77720957148599,0.843292062817849,0.591194469062825,0.55760721434248,2.89958178190381,1.08894101064652,biweight
