task,measure,ce,bacc,auc,logloss,mcc,learning_rate,feature_fraction,min_data_in_leaf,num_leaves,num_iterations
optdigits,auc,0.0145907473309609,0.985429643858863,0.999921248658338,0.049034331816404,0.983834017183144,-2.24993507873957,0.820194932934828,105,32,195
optdigits,bacc,0.0104982206405694,0.989494144844871,0.999888682442381,0.0477668524352979,0.988354359295281,-1.48657820278776,0.5691557146376,89,125,59
optdigits,ce,0.0112099644128114,0.988776504348646,0.999896451809821,0.0459598134913245,0.987569702591194,-2.58179437011147,0.771713416161947,9,17,148
optdigits,logloss,0.0137010676156584,0.986295301341127,0.999905703741912,0.0378625106679617,0.984810939746003,-3.11365374226395,0.351549217500724,35,140,351
optdigits,mcc,0.0106761565836299,0.989315465387607,0.999868311613297,0.0455003599769487,0.98816358056757,-1.96298578812162,0.777692943718284,74,124,103
ozone-level-8hr,auc,0.0580156235411285,0.642627557352055,0.941880628833812,0.138218326212385,0.377033556390531,-1.72777932224304,0.966319936211221,44,172,148
ozone-level-8hr,bacc,0.0603716037471601,0.795831892883736,0.880743072545474,0.377152017897583,0.547241625717658,-0.347523547491404,0.941014101123437,115,26,88
ozone-level-8hr,ce,0.0422240204164203,0.706426732085239,0.901695963195405,0.157576384449789,0.56744567252883,-1.36600857620771,0.695598401408643,162,58,77
ozone-level-8hr,logloss,0.0509009990351997,0.675566207495657,0.941220348899053,0.131382428807258,0.472817605681095,-1.73488029784108,0.631614798423834,86,241,159
ozone-level-8hr,mcc,0.0442049733901839,0.746172725419282,0.910841599297947,0.157506971762823,0.584734560002317,-0.0742289134684639,0.974510375969112,140,118,105
pc1,auc,0.0757411957411957,0.615473967779793,0.922898218286568,0.190152758900538,0.298259046914992,-0.220455122809857,0.911399385053664,130,94,61
pc1,bacc,0.0919410319410319,0.817499066467513,0.838459538034781,0.71284445776597,0.512266996675211,-0.115168544288019,0.967021056846716,40,104,64
pc1,ce,0.0432923832923833,0.6875,0.807914355062413,0.228721630481884,0.552106965464992,-0.599225673623977,0.475686226063408,39,149,63
pc1,logloss,0.064021294021294,0.59207364237704,0.900169369465486,0.166269101926563,0.300519812199723,-2.46933553770765,0.898776121949777,3,167,56
pc1,mcc,0.045986895986896,0.770337672036701,0.856238664248373,0.268390769781185,0.607340914966217,-0.248660196135382,0.911419205320999,104,250,147
pc3,auc,0.099828515433611,0.59832890070922,0.873000728216818,0.250467137806564,0.275742662969447,-0.687098548245676,0.69528550747782,15,43,29
pc3,bacc,0.112612281561326,0.754540273556231,0.812495567375887,1.42871477498671,0.455449672120816,-0.284630319409071,0.808607284561731,20,124,54
pc3,ce,0.0780581414339376,0.646446301925025,0.812627437943262,0.286342710466258,0.44809782564295,-0.766957257584583,0.148233697633259,46,176,26
pc3,logloss,0.0947084762371387,0.576257598784195,0.866081876899696,0.237370210078001,0.246266993410827,-1.95504666302327,0.134471741667949,22,105,33
pc3,mcc,0.0799812183570145,0.709048252279635,0.831854894883485,0.311293071331228,0.502839050291721,-0.617372877353839,0.62620790572837,81,215,56
pc4,auc,0.0850354274917336,0.736328125,0.958609068627451,0.178502548392814,0.557741160161187,-2.55668316159668,0.993360663065687,54,111,173
pc4,bacc,0.111110061407652,0.847413705065359,0.891424121732026,2.26273446956925,0.60081506866729,-0.012379721336294,0.770397798088379,45,128,63
pc4,ce,0.0624090694378838,0.814325469771242,0.941122855392157,0.21159566927504,0.689041091111552,-0.995825730122379,0.403100946824998,101,144,69
pc4,logloss,0.078171941426547,0.757107843137255,0.953456903594771,0.171808131709176,0.596108324256731,-0.810969006888843,0.994228691700846,41,160,113
pc4,mcc,0.0623996221067548,0.824037479575163,0.928098192401961,0.270222936537894,0.697301740186109,-0.0938605496236868,0.708600825560279,17,121,73
pendigits,auc,0.00664058234758872,0.993374027768354,0.999954451572219,0.027956177927091,0.992628230664663,-1.23769334125846,0.609029044723138,191,222,152
pendigits,bacc,0.00400248159483828,0.995994847660579,0.999943040542969,0.0253860628302377,0.995556122709609,-1.31361308987834,0.958892359025776,175,57,96
pendigits,ce,0.00409347340557532,0.99590216928704,0.999921569253675,0.02576179466198,0.995454438678688,-1.87263414434937,0.986923398100771,181,218,130
pendigits,logloss,0.00463942426999752,0.995330740715612,0.999936207206216,0.0196964081631339,0.994847951728422,-5.18307949248086,0.983023334806785,12,112,2884
pendigits,mcc,0.00400248159483828,0.995979945762684,0.999924565532994,0.0259322138963862,0.995555732572092,-2.09708631136456,0.972262426232919,170,87,128
phoneme,auc,0.0871537618949819,0.891715413815826,0.968326216905136,0.260934781491815,0.788899433814873,-3.96646747650478,0.96237234249711,6,197,463
phoneme,bacc,0.0793821455466557,0.902927515513469,0.965234018599915,0.255663793863353,0.808399892230884,-2.71820868893447,0.963963294564746,6,159,146
phoneme,ce,0.078454850414185,0.901744636440075,0.961562123893978,0.252322674858212,0.809873912814203,-2.03972716701139,0.934131344081834,11,252,102
phoneme,logloss,0.0886352433764633,0.889357048622223,0.965583207031272,0.215195505466727,0.785064214371651,-5.39516323190294,0.880529543943703,7,199,1047
phoneme,mcc,0.0782727459437256,0.902231008051119,0.964095695697278,0.26318815235529,0.810423862444903,-2.12608238739643,0.969104714994319,3,107,103
qsar-biodeg,auc,0.116576819407008,0.860453761214631,0.947716717604916,0.286605697578696,0.736221831315551,-2.38362354440715,0.905332700791769,2,203,145
qsar-biodeg,bacc,0.0938364779874214,0.892795031055901,0.934617174405994,0.300508000177598,0.790310594018936,-1.19380456058445,0.787304428499192,10,17,105
qsar-biodeg,ce,0.0928212039532794,0.886654589371981,0.933084146702159,0.32152771130054,0.790172874711226,-1.5353401741316,0.627652256004512,26,47,70
qsar-biodeg,logloss,0.112767295597484,0.866773636991028,0.94512777284827,0.275172227999461,0.745629160975703,-3.05075043955798,0.517418735823594,1,30,298
qsar-biodeg,mcc,0.0937735849056604,0.890681504485852,0.930035015938743,0.331740530189033,0.790897031544896,-1.02787523897843,0.422889498923905,37,13,77
riccardo,auc,0.00415,0.993566666666667,0.9998952,0.0184053295966904,0.988920156253459,-3.96201798133762,0.932725074677728,1,231,428
riccardo,bacc,0.00135,0.9991,0.9997692,0.0799499118008825,0.996418894256379,-3.89548110735432,0.472649217792787,139,163,204
riccardo,ce,0.0013,0.999066666666667,0.999780666666667,0.0817321488828983,0.99654975688238,-3.74798612268534,0.113762166770175,118,147,230
riccardo,logloss,0.00215,0.9983,0.999848933333333,0.00846642113741276,0.994295586412048,-3.68725664198093,0.108597410912625,1,234,814
riccardo,mcc,0.0014,0.999,0.999727866666667,0.0886170439687477,0.996285031768339,-4.88645603807608,0.597312775207683,79,85,599
robert,auc,0.4429,0.557821831054055,0.934510196362445,1.26395393156694,0.508052481528333,-5.11865686930099,0.12196070344653,65,19,2797
robert,bacc,0.4356,0.565072389283816,0.926748354843456,1.37220138385478,0.516238651139977,-3.157776897863,0.652829385711812,82,146,474
robert,ce,0.4357,0.564929071916792,0.929179376572611,1.29974145028518,0.516101684628801,-3.03488023265515,0.236342766135931,142,158,390
robert,logloss,0.438,0.562710326574472,0.935157996639927,1.23802438049629,0.513488269596245,-4.96608451395801,0.13056589087937,83,10,4817
robert,mcc,0.4337,0.566929788185366,0.930487750795753,1.28920272534745,0.518277953638097,-3.1446296233754,0.342339506465942,129,23,616
satimage,auc,0.0737169517884914,0.906436660211359,0.993981958899103,0.207561012272491,0.909148594114161,-4.02657164056669,0.55998890909832,13,146,537
satimage,bacc,0.0659409020217729,0.917346188121857,0.99343707174168,0.255592637141962,0.918721631837446,-2.32285178856186,0.760863073938526,16,230,191
satimage,ce,0.0664074650077761,0.915435442866061,0.993620325808972,0.236596267784239,0.918212098702398,-2.1619879471936,0.647177841188386,45,224,107
satimage,logloss,0.0779160186625195,0.901772910366835,0.993615039182747,0.196898685792228,0.90394912811515,-3.0920005904146,0.984732103534043,3,204,599
satimage,mcc,0.0667185069984448,0.914695761333486,0.993260275628961,0.259259423205266,0.917816631906449,-1.95114096914898,0.826769294822589,19,227,87
segment,auc,0.0614718614718615,0.938528138528139,0.997057151602606,1.57236679940934,0.928652332443068,-6.37476179113475,0.284003790351562,6,67,63
segment,bacc,0.0489177489177489,0.951082251082251,0.995491713673532,0.202626182495375,0.943186347082206,-0.904630823946141,0.452770193107426,88,70,45
segment,ce,0.0484848484848485,0.951515151515152,0.99509816782544,0.200408227088029,0.943599384529633,-0.843156692810837,0.540567066939548,153,97,79
segment,logloss,0.0558441558441558,0.944155844155844,0.996768551314006,0.148784204207072,0.935152274777028,-3.01904031878174,0.869295233860612,1,210,280
segment,mcc,0.0476190476190476,0.952380952380952,0.995662250207705,0.192274584515006,0.944654717446907,-1.59323300333723,0.79709695589263,34,170,35
semeion,auc,0.045813679245283,0.954183823529412,0.999362098311547,0.188880179388934,0.949424525406789,-2.6924562798399,0.101075799041428,28,66,102
semeion,bacc,0.0382783018867925,0.961651960784314,0.998874387254902,0.165534860825402,0.957855328279089,-1.95499332413143,0.216908830148168,20,21,84
semeion,ce,0.0401572327044025,0.959813725490196,0.998934742647059,0.175105941568819,0.955691034701979,-2.42010931181596,0.183022021478973,17,206,82
semeion,logloss,0.0458058176100629,0.95414705882353,0.999087111928105,0.146001646802999,0.949478737857008,-5.92171748641361,0.182145053334534,3,245,3952
