task,measure,ce,bacc,logloss,auc,mcc,xgboost.eta,xgboost.max_depth,xgboost.colsample_bytree,xgboost.colsample_bylevel,xgboost.lambda,xgboost.alpha,xgboost.subsample
breast-w,ce,0.0142857142857143,0.987089371980676,0.0885303091669136,0.993693236714976,0.969785843477365,-0.357228161924707,9,0.203821103996597,0.922689115861431,-5.70345479245732,-5.74780357201919,0.442355619533919
car,ce,0,1,0.040060380491333,1,1,-0.173704740503522,4,0.622481332952157,0.962949057249352,-6.50432327021705,-4.28714133012649,0.824448715685867
christine,ce,0.240500712770529,0.75949774497745,0.524654273741124,0.819583863489311,0.519738209548212,-1.6829375905743,5,0.440747897373512,0.408372575719841,6.09907561934098,-2.32893951499865,0.957549960981123
churn,ce,0.0342,0.892562151245414,0.166507794216587,0.922977661327645,0.853122357377992,-1.45721787056772,7,0.740995808434673,0.605357712879777,-0.13710574616232,-6.04905903407779,0.779298263206147
climate-model-simulation-crashes,ce,0.0259259259259259,0.856479591836735,0.126586083172181,0.945755102040816,0.818704280495335,-0.469704272694073,1,0.546958132321015,0.782859058910981,-6.76819138576766,-2.47848925164809,0.644662243872881
cmc,ce,0.391023166023166,0.581819084001247,0.913493179503187,0.76081074752755,0.389434754497221,-0.315111558051343,2,0.990199503093027,0.656111401203089,3.65520053894273,-3.99747525576608,0.143547152820975
cnae-9,ce,0.0388888888888889,0.961111111111111,0.403534874268496,0.998263888888889,0.956553885094385,-2.19350581861033,17,0.107835632748902,0.951825771760195,-6.59645059213983,-1.58028932985245,0.912276186607778
connect-4,ce,0.121127417403244,0.738410685290435,0.317295488878815,0.945415013975355,0.749846959537627,-1.10115702202415,12,0.572768896189518,0.912485038489103,3.39711107568691,-3.77253470753808,0.91729583516717
credit-approval,ce,0.0971014492753623,0.901647512080449,0.349997511625955,0.929963649819337,0.805500863942385,-0.97381820328183,20,0.457428893994889,0.196906490890775,-0.310103280011573,-5.99504368109914,0.648148769090651
credit-g,ce,0.189,0.730714285714286,0.500763930139477,0.807,0.524141533712244,-1.90524267901735,5,0.358404917339794,0.616974637983367,-5.8229243630974,-6.60618944646182,0.629726651730016
cylinder-bands,ce,0.168518518518519,0.821671992541119,0.441264224795577,0.875781947277827,0.65731020613794,-0.947430245730288,19,0.234186548367143,0.973343039001338,-6.20211438270427,-6.14522170918748,0.893966432730667
diabetes,ce,0.181032125768968,0.772401709401709,0.486220548755851,0.838267806267806,0.594656912492009,-1.90247803437923,1,0.26653541107662,0.283946254663169,-6.60410052214283,-0.937651009280193,0.176964136958122
dilbert,ce,0.0078,0.992239729520553,0.0380300625252148,0.999900085108192,0.990274743851064,-1.89896499510143,4,0.274695284967311,0.100236417236738,-6.3287825839549,-6.27094754712655,0.773740592435934
dna,ce,0.025735888488003,0.972488134355604,0.186525596424529,0.996056033705977,0.95833191187003,-2.05385862318369,11,0.104439818882383,0.924087159894407,1.55449814214187,-2.83650231585649,0.582130260998383
dresses-sales,ce,0.27,0.711412151067323,0.665454613235201,0.697619047619048,0.443447188693213,-1.20335855746429,12,0.698608671827242,0.155820850958116,-0.774777116444707,-0.448396826472695,0.102991839451715
electricity,ce,0.0495232704076634,0.948988435949418,0.132365795650325,0.989010128367062,0.898636683256797,-1.96389926087371,11,0.982820445182733,0.885115555371158,-5.52828529753295,-1.52618788035282,0.980363659490831
eucalyptus,ce,0.278582006664198,0.690602286602287,0.771589420361342,0.922216465352829,0.645928514365073,-1.17824863883586,2,0.659364509186707,0.942712555499747,0.172340732319109,-3.60888570880023,0.375135896587744
fabert,ce,0.261021865304534,0.715775636744156,0.812932008612814,0.951204611221334,0.687467733428756,-2.69608122721366,19,0.554910660977475,0.497367435367778,-4.29750435434663,-5.06342618862626,0.7242831178708
first-order-theorem-proving,ce,0.353059112351978,0.533652136586768,1.07985800572107,0.865923932728894,0.5207697279212,-1.52558097434519,20,0.94705694578588,0.833346776245162,2.79869738713518,-3.29426725564778,0.556833523209207
guillermo,ce,0.1452,0.833273244440592,0.386138382388842,0.915266611204692,0.696855001518672,-2.96183452776346,17,0.940680826595053,0.928075564675964,-6.57345785631338,-5.65457580011385,0.919625035719946
har,ce,0.00436940379480502,0.995820084887221,0.0180946204723967,0.999938995993836,0.994749392698073,-1.11886629968461,2,0.670272603351623,0.939218035922386,-3.33622119230606,-4.29171555666137,0.82873772548046
higgs,ce,0.263834778174401,0.734923344571325,0.524500665632913,0.813001701066981,0.470251527392187,-3.23645804228004,12,0.905797985685058,0.797291937191039,-4.82961693826836,2.55722508274347,0.783293082029559
ilpd,ce,0.195470485096435,0.730467095374735,0.630681829638506,0.741388049122088,0.497782145250566,-0.215040940612086,1,0.982881775149144,0.28009333119262,-0.279012719558916,-2.9953379701483,0.157786394678988
jannis,ce,0.268436676100529,0.548752981839398,0.795186881150907,0.844055228693106,0.573883926541539,-2.8011134600886,17,0.985843416908756,0.351581535185687,-4.08304383686336,-2.63630171082198,0.983932307153009
jasmine,ce,0.159192835177662,0.840814317673378,0.498229745235442,0.878747398765821,0.696061675218261,-3.55040649596845,20,0.982235410343856,0.306521811778657,-1.6197095147478,-6.71212529137404,0.819694878021255
jm1,ce,0.172072833954518,0.601687533785058,0.448607578151609,0.744462843253363,0.31747961390935,-2.51658811684255,15,0.432902281149291,0.7596315885894,-2.55981586935691,-6.81607064541493,0.89244802959729
jungle_chess_2pcs_raw_endgame_complete,ce,0.125817176813082,0.827125903610153,0.24425264827238,0.978187802877992,0.780813114246039,-0.397498922332878,4,0.969075792399235,0.809074032935314,-4.63929915624371,-4.22623920086691,0.971724863559939
kc1,ce,0.117118032046942,0.677384712933427,0.378089571113344,0.816958276982365,0.470555833868903,-2.09225070914128,10,0.837663926184177,0.966303178062662,-1.4339829046978,-6.51728012402444,0.333660204987973
kc2,ce,0.0978229317851959,0.813757786928519,0.366455184897427,0.836771988174427,0.684810189905974,-0.0565992002447244,1,0.95626990669407,0.597807697043754,-0.844930606615558,-0.583114655231005,0.242631430015899
kr-vs-kp,ce,0.00281543887147335,0.997164108315876,0.0289845344035942,0.999690340277581,0.994394992390831,-0.237820997981083,7,0.833774236333557,0.469516409398057,-2.38813543340407,-6.3790078155744,0.791218757373281
madelon,ce,0.118461538461538,0.881538461538462,0.568833748011832,0.931431952662722,0.763532449881107,-4.87475748288836,15,0.983665583888069,0.293045404623263,-3.5920077419907,-5.05984821756275,0.940035905153491
mfeat-factors,ce,0.019,0.981,0.148998743953193,0.999488888888889,0.978967557241394,-1.74978628252272,3,0.53999442642089,0.607652973849326,-3.90028453479376,-3.70998153982047,0.27695889628958
mfeat-fourier,ce,0.132,0.868,0.43994585050468,0.987672222222222,0.85395730041148,-1.89997545218946,4,0.911606224859133,0.767728192941286,-3.30194813649008,-6.87113488732405,0.939385426300578
