task,measure,ce,bacc,logloss,auc,mcc,svm.cost,svm.gamma
ozone-level-8hr,logloss,0.0544567551585696,0.635782430060632,0.144052041291767,0.9233828183172,0.411003938513377,-5.08945848108044,-5.73255857989751
pc1,logloss,0.0613185913185913,0.598392323695722,0.199184296832633,0.84001386962552,0.315001477217087,3.31586862976451,1.05191665187982
pc3,logloss,0.102368120202515,0.544295845997974,0.279424227840338,0.810760195035461,0.202656602256195,1.52747797686933,-0.867216775289376
pc4,logloss,0.0939773264052905,0.682199754901961,0.22068152920175,0.919564440359477,0.466266844434732,2.98284417803874,-3.2561013002792
pendigits,logloss,0.00336578707916288,0.996600601174799,0.0173372134792239,0.999977237175951,0.996263109862728,1.50826709349599,-1.97807715938834
phoneme,logloss,0.0969593345656192,0.86874246520284,0.265337034736194,0.943157001861587,0.761093143270673,0.317880212273873,2.31257200007595
qsar-biodeg,logloss,0.112821203953279,0.86731884057971,0.295739075955501,0.937298613165073,0.744714303591782,2.05885067961581,-3.37965114067272
satimage,logloss,0.0723172628304821,0.910918083518288,0.206221884680793,0.993576583299231,0.910898569887632,1.8795076378191,-1.61205224643869
segment,logloss,0.0731601731601732,0.926839826839827,0.212948866780347,0.994743976562158,0.915332436016789,6.76642088002927,-2.91605239977944
semeion,logloss,0.0389111635220126,0.961022058823529,0.154467674663789,0.999501940359477,0.957047270691215,6.88126767808721,-5.49990024377948
shuttle,logloss,0.00120689655172414,0.782710211179813,0.00423957864336369,0.999775083098555,0.996601707641084,4.61320168539212,-1.69042400898523
sick,logloss,0.0283672266430887,0.8068284473483,0.091370716959146,0.962503745143422,0.725726294705891,2.21086312885034,-1.63117605229658
spambase,logloss,0.0628109968876733,0.930999670329404,0.175693536774056,0.979788477576129,0.868209598096643,2.29160503560362,-4.19115841242199
