"","nrow","nfeatures","n_layers","neurons","p","opt_lr","opt_weight_decay","epochs"
"571",4281,50,2,256,0.2,1e-05,1e-06,10
"572",7847,50,2,256,0.2,1e-05,1e-06,10
"573",14384,50,2,256,0.2,1e-05,1e-06,10
"574",26366,50,2,256,0.2,1e-05,1e-06,10
"575",48329,50,2,256,0.2,1e-05,1e-06,10
"576",88586,50,2,256,0.2,1e-05,1e-06,10
"577",162377,50,2,256,0.2,1e-05,1e-06,10
"578",297635,50,2,256,0.2,1e-05,1e-06,10
"579",545559,50,2,256,0.2,1e-05,1e-06,10
"580",1e+06,50,2,256,0.2,1e-05,1e-06,10
"581",10,50,4,256,0.2,1e-05,1e-06,10
"582",18,50,4,256,0.2,1e-05,1e-06,10
"583",33,50,4,256,0.2,1e-05,1e-06,10
"584",61,50,4,256,0.2,1e-05,1e-06,10
"585",112,50,4,256,0.2,1e-05,1e-06,10
"586",206,50,4,256,0.2,1e-05,1e-06,10
"587",379,50,4,256,0.2,1e-05,1e-06,10
"588",695,50,4,256,0.2,1e-05,1e-06,10
"589",1274,50,4,256,0.2,1e-05,1e-06,10
"590",2335,50,4,256,0.2,1e-05,1e-06,10
"591",4281,50,4,256,0.2,1e-05,1e-06,10
"592",7847,50,4,256,0.2,1e-05,1e-06,10
"593",14384,50,4,256,0.2,1e-05,1e-06,10
"594",26366,50,4,256,0.2,1e-05,1e-06,10
"595",48329,50,4,256,0.2,1e-05,1e-06,10
"596",88586,50,4,256,0.2,1e-05,1e-06,10
"597",162377,50,4,256,0.2,1e-05,1e-06,10
"598",297635,50,4,256,0.2,1e-05,1e-06,10
"599",545559,50,4,256,0.2,1e-05,1e-06,10
"600",1e+06,50,4,256,0.2,1e-05,1e-06,10
"601",10,50,8,256,0.2,1e-05,1e-06,10
"602",18,50,8,256,0.2,1e-05,1e-06,10
"603",33,50,8,256,0.2,1e-05,1e-06,10
"604",61,50,8,256,0.2,1e-05,1e-06,10
"605",112,50,8,256,0.2,1e-05,1e-06,10
"606",206,50,8,256,0.2,1e-05,1e-06,10
"607",379,50,8,256,0.2,1e-05,1e-06,10
"608",695,50,8,256,0.2,1e-05,1e-06,10
"609",1274,50,8,256,0.2,1e-05,1e-06,10
"610",2335,50,8,256,0.2,1e-05,1e-06,10
"611",4281,50,8,256,0.2,1e-05,1e-06,10
"612",7847,50,8,256,0.2,1e-05,1e-06,10
"613",14384,50,8,256,0.2,1e-05,1e-06,10
"614",26366,50,8,256,0.2,1e-05,1e-06,10
"615",48329,50,8,256,0.2,1e-05,1e-06,10
"616",88586,50,8,256,0.2,1e-05,1e-06,10
"617",162377,50,8,256,0.2,1e-05,1e-06,10
"618",297635,50,8,256,0.2,1e-05,1e-06,10
"619",545559,50,8,256,0.2,1e-05,1e-06,10
"620",1e+06,50,8,256,0.2,1e-05,1e-06,10
"621",10,50,16,256,0.2,1e-05,1e-06,10
"622",18,50,16,256,0.2,1e-05,1e-06,10
"623",33,50,16,256,0.2,1e-05,1e-06,10
"624",61,50,16,256,0.2,1e-05,1e-06,10
"625",112,50,16,256,0.2,1e-05,1e-06,10
"626",206,50,16,256,0.2,1e-05,1e-06,10
"627",379,50,16,256,0.2,1e-05,1e-06,10
"628",695,50,16,256,0.2,1e-05,1e-06,10
"629",1274,50,16,256,0.2,1e-05,1e-06,10
"630",2335,50,16,256,0.2,1e-05,1e-06,10
"631",4281,50,16,256,0.2,1e-05,1e-06,10
"632",7847,50,16,256,0.2,1e-05,1e-06,10
"633",14384,50,16,256,0.2,1e-05,1e-06,10
"634",26366,50,16,256,0.2,1e-05,1e-06,10
"635",48329,50,16,256,0.2,1e-05,1e-06,10
"636",88586,50,16,256,0.2,1e-05,1e-06,10
"637",162377,50,16,256,0.2,1e-05,1e-06,10
"638",297635,50,16,256,0.2,1e-05,1e-06,10
"639",545559,50,16,256,0.2,1e-05,1e-06,10
"640",1e+06,50,16,256,0.2,1e-05,1e-06,10
"641",10,50,2,512,0.2,1e-05,1e-06,10
"642",18,50,2,512,0.2,1e-05,1e-06,10
"643",33,50,2,512,0.2,1e-05,1e-06,10
"644",61,50,2,512,0.2,1e-05,1e-06,10
"645",112,50,2,512,0.2,1e-05,1e-06,10
"646",206,50,2,512,0.2,1e-05,1e-06,10
"647",379,50,2,512,0.2,1e-05,1e-06,10
"648",695,50,2,512,0.2,1e-05,1e-06,10
"649",1274,50,2,512,0.2,1e-05,1e-06,10
"650",2335,50,2,512,0.2,1e-05,1e-06,10
"651",4281,50,2,512,0.2,1e-05,1e-06,10
"652",7847,50,2,512,0.2,1e-05,1e-06,10
"653",14384,50,2,512,0.2,1e-05,1e-06,10
"654",26366,50,2,512,0.2,1e-05,1e-06,10
"655",48329,50,2,512,0.2,1e-05,1e-06,10
"656",88586,50,2,512,0.2,1e-05,1e-06,10
"657",162377,50,2,512,0.2,1e-05,1e-06,10
"658",297635,50,2,512,0.2,1e-05,1e-06,10
"659",545559,50,2,512,0.2,1e-05,1e-06,10
"660",1e+06,50,2,512,0.2,1e-05,1e-06,10
"661",10,50,4,512,0.2,1e-05,1e-06,10
"662",18,50,4,512,0.2,1e-05,1e-06,10
"663",33,50,4,512,0.2,1e-05,1e-06,10
"664",61,50,4,512,0.2,1e-05,1e-06,10
"665",112,50,4,512,0.2,1e-05,1e-06,10
"666",206,50,4,512,0.2,1e-05,1e-06,10
"667",379,50,4,512,0.2,1e-05,1e-06,10
"668",695,50,4,512,0.2,1e-05,1e-06,10
"669",1274,50,4,512,0.2,1e-05,1e-06,10
"670",2335,50,4,512,0.2,1e-05,1e-06,10
"671",4281,50,4,512,0.2,1e-05,1e-06,10
"672",7847,50,4,512,0.2,1e-05,1e-06,10
"673",14384,50,4,512,0.2,1e-05,1e-06,10
"674",26366,50,4,512,0.2,1e-05,1e-06,10
"675",48329,50,4,512,0.2,1e-05,1e-06,10
"676",88586,50,4,512,0.2,1e-05,1e-06,10
"677",162377,50,4,512,0.2,1e-05,1e-06,10
"678",297635,50,4,512,0.2,1e-05,1e-06,10
"679",545559,50,4,512,0.2,1e-05,1e-06,10
"680",1e+06,50,4,512,0.2,1e-05,1e-06,10
"681",10,50,8,512,0.2,1e-05,1e-06,10
"682",18,50,8,512,0.2,1e-05,1e-06,10
"683",33,50,8,512,0.2,1e-05,1e-06,10
"684",61,50,8,512,0.2,1e-05,1e-06,10
"685",112,50,8,512,0.2,1e-05,1e-06,10
"686",206,50,8,512,0.2,1e-05,1e-06,10
"687",379,50,8,512,0.2,1e-05,1e-06,10
"688",695,50,8,512,0.2,1e-05,1e-06,10
"689",1274,50,8,512,0.2,1e-05,1e-06,10
"690",2335,50,8,512,0.2,1e-05,1e-06,10
"691",4281,50,8,512,0.2,1e-05,1e-06,10
"692",7847,50,8,512,0.2,1e-05,1e-06,10
"693",14384,50,8,512,0.2,1e-05,1e-06,10
"694",26366,50,8,512,0.2,1e-05,1e-06,10
"695",48329,50,8,512,0.2,1e-05,1e-06,10
"696",88586,50,8,512,0.2,1e-05,1e-06,10
"697",162377,50,8,512,0.2,1e-05,1e-06,10
"698",297635,50,8,512,0.2,1e-05,1e-06,10
"699",545559,50,8,512,0.2,1e-05,1e-06,10
"700",1e+06,50,8,512,0.2,1e-05,1e-06,10
"701",10,50,16,512,0.2,1e-05,1e-06,10
"702",18,50,16,512,0.2,1e-05,1e-06,10
"703",33,50,16,512,0.2,1e-05,1e-06,10
"704",61,50,16,512,0.2,1e-05,1e-06,10
"705",112,50,16,512,0.2,1e-05,1e-06,10
"706",206,50,16,512,0.2,1e-05,1e-06,10
"707",379,50,16,512,0.2,1e-05,1e-06,10
"708",695,50,16,512,0.2,1e-05,1e-06,10
"709",1274,50,16,512,0.2,1e-05,1e-06,10
"710",2335,50,16,512,0.2,1e-05,1e-06,10
"711",4281,50,16,512,0.2,1e-05,1e-06,10
"712",7847,50,16,512,0.2,1e-05,1e-06,10
"713",14384,50,16,512,0.2,1e-05,1e-06,10
"714",26366,50,16,512,0.2,1e-05,1e-06,10
"715",48329,50,16,512,0.2,1e-05,1e-06,10
"716",88586,50,16,512,0.2,1e-05,1e-06,10
"717",162377,50,16,512,0.2,1e-05,1e-06,10
"718",297635,50,16,512,0.2,1e-05,1e-06,10
"719",545559,50,16,512,0.2,1e-05,1e-06,10
"720",1e+06,50,16,512,0.2,1e-05,1e-06,10
"721",10,50,2,1024,0.2,1e-05,1e-06,10
"722",18,50,2,1024,0.2,1e-05,1e-06,10
"723",33,50,2,1024,0.2,1e-05,1e-06,10
"724",61,50,2,1024,0.2,1e-05,1e-06,10
"725",112,50,2,1024,0.2,1e-05,1e-06,10
"726",206,50,2,1024,0.2,1e-05,1e-06,10
"727",379,50,2,1024,0.2,1e-05,1e-06,10
"728",695,50,2,1024,0.2,1e-05,1e-06,10
"729",1274,50,2,1024,0.2,1e-05,1e-06,10
"730",2335,50,2,1024,0.2,1e-05,1e-06,10
"731",4281,50,2,1024,0.2,1e-05,1e-06,10
"732",7847,50,2,1024,0.2,1e-05,1e-06,10
"733",14384,50,2,1024,0.2,1e-05,1e-06,10
"734",26366,50,2,1024,0.2,1e-05,1e-06,10
"735",48329,50,2,1024,0.2,1e-05,1e-06,10
"736",88586,50,2,1024,0.2,1e-05,1e-06,10
"737",162377,50,2,1024,0.2,1e-05,1e-06,10
"738",297635,50,2,1024,0.2,1e-05,1e-06,10
"739",545559,50,2,1024,0.2,1e-05,1e-06,10
"740",1e+06,50,2,1024,0.2,1e-05,1e-06,10
"741",10,50,4,1024,0.2,1e-05,1e-06,10
"742",18,50,4,1024,0.2,1e-05,1e-06,10
"743",33,50,4,1024,0.2,1e-05,1e-06,10
"744",61,50,4,1024,0.2,1e-05,1e-06,10
"745",112,50,4,1024,0.2,1e-05,1e-06,10
"746",206,50,4,1024,0.2,1e-05,1e-06,10
"747",379,50,4,1024,0.2,1e-05,1e-06,10
"748",695,50,4,1024,0.2,1e-05,1e-06,10
"749",1274,50,4,1024,0.2,1e-05,1e-06,10
"750",2335,50,4,1024,0.2,1e-05,1e-06,10
"751",4281,50,4,1024,0.2,1e-05,1e-06,10
"752",7847,50,4,1024,0.2,1e-05,1e-06,10
"753",14384,50,4,1024,0.2,1e-05,1e-06,10
"754",26366,50,4,1024,0.2,1e-05,1e-06,10
"755",48329,50,4,1024,0.2,1e-05,1e-06,10
"756",88586,50,4,1024,0.2,1e-05,1e-06,10
"757",162377,50,4,1024,0.2,1e-05,1e-06,10
"758",297635,50,4,1024,0.2,1e-05,1e-06,10
"759",545559,50,4,1024,0.2,1e-05,1e-06,10
"760",1e+06,50,4,1024,0.2,1e-05,1e-06,10
"761",10,50,8,1024,0.2,1e-05,1e-06,10
"762",18,50,8,1024,0.2,1e-05,1e-06,10
"763",33,50,8,1024,0.2,1e-05,1e-06,10
"764",61,50,8,1024,0.2,1e-05,1e-06,10
"765",112,50,8,1024,0.2,1e-05,1e-06,10
"766",206,50,8,1024,0.2,1e-05,1e-06,10
"767",379,50,8,1024,0.2,1e-05,1e-06,10
"768",695,50,8,1024,0.2,1e-05,1e-06,10
"769",1274,50,8,1024,0.2,1e-05,1e-06,10
"770",2335,50,8,1024,0.2,1e-05,1e-06,10
"771",4281,50,8,1024,0.2,1e-05,1e-06,10
"772",7847,50,8,1024,0.2,1e-05,1e-06,10
"773",14384,50,8,1024,0.2,1e-05,1e-06,10
"774",26366,50,8,1024,0.2,1e-05,1e-06,10
"775",48329,50,8,1024,0.2,1e-05,1e-06,10
"776",88586,50,8,1024,0.2,1e-05,1e-06,10
"777",162377,50,8,1024,0.2,1e-05,1e-06,10
"778",297635,50,8,1024,0.2,1e-05,1e-06,10
"779",545559,50,8,1024,0.2,1e-05,1e-06,10
"780",1e+06,50,8,1024,0.2,1e-05,1e-06,10
"781",10,50,16,1024,0.2,1e-05,1e-06,10
"782",18,50,16,1024,0.2,1e-05,1e-06,10
"783",33,50,16,1024,0.2,1e-05,1e-06,10
"784",61,50,16,1024,0.2,1e-05,1e-06,10
"785",112,50,16,1024,0.2,1e-05,1e-06,10
"786",206,50,16,1024,0.2,1e-05,1e-06,10
"787",379,50,16,1024,0.2,1e-05,1e-06,10
"788",695,50,16,1024,0.2,1e-05,1e-06,10
"789",1274,50,16,1024,0.2,1e-05,1e-06,10
"790",2335,50,16,1024,0.2,1e-05,1e-06,10
"791",4281,50,16,1024,0.2,1e-05,1e-06,10
"792",7847,50,16,1024,0.2,1e-05,1e-06,10
"793",14384,50,16,1024,0.2,1e-05,1e-06,10
"794",26366,50,16,1024,0.2,1e-05,1e-06,10
"795",48329,50,16,1024,0.2,1e-05,1e-06,10
"796",88586,50,16,1024,0.2,1e-05,1e-06,10
"797",162377,50,16,1024,0.2,1e-05,1e-06,10
"798",297635,50,16,1024,0.2,1e-05,1e-06,10
"799",545559,50,16,1024,0.2,1e-05,1e-06,10
"800",1e+06,50,16,1024,0.2,1e-05,1e-06,10
