nrow,nfeatures,n_blocks,d_block,d_hidden_multiplier,dropout1,dropout2,lr,weight_decay,epochs,rss_kb,rss_mib
1000,500,4,128,1,0.2,0.2,1e-05,1e-06,10,872416,851.96875000000000000000
5000,500,4,128,1,0.2,0.2,1e-05,1e-06,10,888112,867.29687500000000000000
10000,500,4,128,1,0.2,0.2,1e-05,1e-06,10,865680,845.39062500000000000000
50000,500,4,128,1,0.2,0.2,1e-05,1e-06,10,897104,876.07812500000000000000
1e+05,500,4,128,1,0.2,0.2,1e-05,1e-06,10,883152,862.45312500000000000000
100,1000,4,128,1,0.2,0.2,1e-05,1e-06,10,689488,673.32812500000000000000
1000,1000,4,128,1,0.2,0.2,1e-05,1e-06,10,821792,802.53125000000000000000
5000,1000,4,128,1,0.2,0.2,1e-05,1e-06,10,893232,872.29687500000000000000
10000,1000,4,128,1,0.2,0.2,1e-05,1e-06,10,847600,827.73437500000000000000
50000,1000,4,128,1,0.2,0.2,1e-05,1e-06,10,878672,858.07812500000000000000
1e+05,1000,4,128,1,0.2,0.2,1e-05,1e-06,10,920160,898.59375000000000000000
100,1,4,256,1,0.2,0.2,1e-05,1e-06,10,701712,685.26562500000000000000
1000,1,4,256,1,0.2,0.2,1e-05,1e-06,10,855504,835.45312500000000000000
5000,1,4,256,1,0.2,0.2,1e-05,1e-06,10,901776,880.64062500000000000000
10000,1,4,256,1,0.2,0.2,1e-05,1e-06,10,902480,881.32812500000000000000
50000,1,4,256,1,0.2,0.2,1e-05,1e-06,10,889040,868.20312500000000000000
1e+05,1,4,256,1,0.2,0.2,1e-05,1e-06,10,903680,882.50000000000000000000
100,10,4,256,1,0.2,0.2,1e-05,1e-06,10,703296,686.81250000000000000000
1000,10,4,256,1,0.2,0.2,1e-05,1e-06,10,854768,834.73437500000000000000
5000,10,4,256,1,0.2,0.2,1e-05,1e-06,10,881088,860.43750000000000000000
10000,10,4,256,1,0.2,0.2,1e-05,1e-06,10,860656,840.48437500000000000000
50000,10,4,256,1,0.2,0.2,1e-05,1e-06,10,883136,862.43750000000000000000
