nrow,nfeatures,n_blocks,d_token,residual_dropout,attention_dropout,ffn_dropout,ffn_d_hidden_multiplier,lr,weight_decay,epochs,rss_kb,rss_mib
1e+05,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1512080,1476.64062500000000000000
100,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1227584,1198.81250000000000000000
1000,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1538608,1502.54687500000000000000
5000,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1690944,1651.31250000000000000000
10000,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1592256,1554.93750000000000000000
50000,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1665024,1626.00000000000000000000
1e+05,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1698272,1658.46875000000000000000
100,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1536976,1500.95312500000000000000
1000,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1576800,1539.84375000000000000000
5000,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1705136,1665.17187500000000000000
10000,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1559520,1522.96875000000000000000
50000,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1634832,1596.51562500000000000000
1e+05,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1698768,1658.95312500000000000000
100,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,922160,900.54687500000000000000
1000,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1022912,998.93750000000000000000
5000,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1027728,1003.64062500000000000000
10000,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,989216,966.03125000000000000000
50000,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,984896,961.81250000000000000000
1e+05,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1001824,978.34375000000000000000
100,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,975504,952.64062500000000000000
1000,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1089360,1063.82812500000000000000
5000,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1099968,1074.18750000000000000000
10000,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1086496,1061.03125000000000000000
50000,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1182512,1154.79687500000000000000
1e+05,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1190656,1162.75000000000000000000
100,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1411408,1378.32812500000000000000
1000,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1484880,1450.07812500000000000000
5000,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1664992,1625.96875000000000000000
10000,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1586208,1549.03125000000000000000
50000,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1616592,1578.70312500000000000000
1e+05,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1634864,1596.54687500000000000000
100,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1345952,1314.40625000000000000000
1000,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1674432,1635.18750000000000000000
