task,measure,ce,bacc,logloss,auc,mcc,ranger.mtry.ratio,ranger.replace,ranger.sample.fraction,ranger.num.trees
bank-marketing,bacc,0.0932737157308353,0.723458549560133,0.212361086380266,0.92753002301378,0.502860916523396,0.920133264735341,FALSE,0.607079965784214,1000
banknote-authentication,bacc,0.00436898339151592,0.995907942359625,0.0205194194741166,0.999849848167363,0.991251046020095,0.670192095916718,FALSE,0.991628404054791,1000
blood-transfusion-service-center,bacc,0.207225225225225,0.659631922944616,0.493488491974327,0.723371746359362,0.369650675092262,0.637630144599825,FALSE,0.986224734620191,1000
breast-w,bacc,0.0228985507246377,0.980519323671498,0.160102936806785,0.991855072463768,0.951123317333404,0.0296798518393189,TRUE,0.192841321718879,1000
car,bacc,0.0133015190213738,0.98407294459926,0.051410874300436,0.999658488773321,0.97151795165021,0.90336901997216,FALSE,0.495068067056127,1000
christine,bacc,0.261170376029084,0.738830804974716,0.537067193715084,0.813456087451403,0.478384628508205,0.107310439925641,FALSE,0.979495129408315,1000
churn,bacc,0.04,0.883266559295056,0.166696754767392,0.914447258440871,0.827657509745713,0.244452329119667,FALSE,0.961831910698675,1000
climate-model-simulation-crashes,bacc,0.0685185185185185,0.724397959183674,0.23444881987363,0.904688775510204,0.521503772882811,0.717850408982486,FALSE,0.971495879394934,1000
cmc,bacc,0.428364589078875,0.544471906616119,0.890037901360759,0.763357401604788,0.332093196515635,0.977176764514297,FALSE,0.512687181029469,1000
cnae-9,bacc,0.0453703703703704,0.95462962962963,0.652444393677005,0.99897762345679,0.949505092519215,0.00789191480726004,FALSE,0.963416040525772,1000
connect-4,bacc,0.184658845343602,0.626673222771128,0.485821669092125,0.887309937212687,0.609378374749424,0.444809031672776,FALSE,0.986536508519202,1000
credit-approval,bacc,0.117391304347826,0.883955639719646,0.377201837347762,0.935220422852002,0.765989345409131,0.816556674428284,FALSE,0.50573386491742,1000
credit-g,bacc,0.221,0.698333333333333,0.492395304546701,0.794809523809524,0.441924456019033,0.68965011741966,FALSE,0.404301828797907,1000
cylinder-bands,bacc,0.15,0.839433651026393,0.375635388942837,0.920698592694122,0.695193104584995,0.190206920728087,FALSE,0.976759676449001,1000
diabetes,bacc,0.220164046479836,0.750353276353276,0.494849591765279,0.824763532763533,0.509514916667466,0.46160578285344,FALSE,0.81931182295084,1000
dilbert,bacc,0.0176,0.982515191159053,0.287899527125387,0.99975324431947,0.978063039326475,0.018354520201683,FALSE,0.897988716745749,1000
dna,bacc,0.0395526507758128,0.955170762796001,0.24681924520246,0.995749134700024,0.935857172159861,0.084122939966619,FALSE,0.843295235116966,1000
dresses-sales,bacc,0.356,0.599835796387521,0.660076643719209,0.613464696223317,0.247773660720166,0.99026882997714,TRUE,0.150777834490873,1000
electricity,bacc,0.0656999695926249,0.932281706430812,0.180196602269308,0.982076140175277,0.86546071196708,0.714896501973271,FALSE,0.879965308168903,1000
eucalyptus,bacc,0.293613476490189,0.67788788988789,0.724248053436944,0.92700357723085,0.626155221635395,0.876583765493706,FALSE,0.609539525676519,1000
fabert,bacc,0.289308149205488,0.687166897867313,0.932902110245164,0.946285255336265,0.653411989036247,0.119816930964589,FALSE,0.973099004710093,1000
first-order-theorem-proving,bacc,0.365151952761465,0.522296595685062,1.32429624432052,0.866968294854827,0.505698218945298,0.922807414783165,FALSE,0.655117529816926,1000
guillermo,bacc,0.1502,0.827337573823484,0.374601293264238,0.913989821198012,0.686386966386124,0.224805482663214,FALSE,0.984262788412161,1000
har,bacc,0.0142731655769104,0.985773996727627,0.118814025083265,0.999764103000299,0.9828510579575,0.0295181898400188,FALSE,0.957521143998019,1000
higgs,bacc,0.273819479857216,0.724791920875194,0.541789826180543,0.80407551027114,0.450099808300196,0.185051472391933,FALSE,0.92913842080161,1000
ilpd,bacc,0.291262419637639,0.617072743731639,0.695537191686389,0.722153617544579,0.25141566903048,0.964120150078088,FALSE,0.998891328182071,1000
jannis,bacc,0.279316419926652,0.531616957201688,0.715726793522868,0.857074104468381,0.555685421901979,0.291258888551965,FALSE,0.987786852521822,1000
jasmine,bacc,0.171926556081794,0.828082774049217,0.390077166031591,0.886252300947405,0.675310384907201,0.299914857605472,FALSE,0.97788924141787,1000
jm1,bacc,0.202847407902555,0.616199284262246,0.609806009921809,0.731798473532339,0.270014319455049,0.858057946898043,FALSE,0.989081430761144,1000
jungle_chess_2pcs_raw_endgame_complete,bacc,0.167919868120851,0.756262158586881,0.323580233067112,0.971058698878291,0.704650208417808,0.910486784996465,TRUE,0.13753083688207,1000
kc1,bacc,0.131338298352516,0.65895737275143,0.410965691853815,0.828531609683236,0.408982691104804,0.864958157297224,TRUE,0.991810489376076,1000
kc2,bacc,0.1533381712627,0.751591173054588,0.381434801536643,0.828738253616302,0.525270076344971,0.876607529586181,TRUE,0.206097100418992,1000
kr-vs-kp,bacc,0.00281641849529781,0.997164108315876,0.019896308952322,0.99959839528051,0.994377169942378,0.750627404078841,FALSE,0.957401699572802,1000
madelon,bacc,0.125,0.875,0.37630099261709,0.933372781065089,0.750484051520502,0.268478308804333,FALSE,0.984688624087721,1000
mfeat-factors,bacc,0.0265,0.9735,0.204058649301254,0.999661111111111,0.970692005835673,0.0796857031527907,FALSE,0.99825110102538,1000
mfeat-fourier,bacc,0.1475,0.8525,0.464896539525426,0.987838888888889,0.836791849485111,0.339006446301937,FALSE,0.985417878581211,1000
mfeat-karhunen,bacc,0.031,0.969,0.438945282948353,0.999694444444444,0.965694278681961,0.0854773053433746,FALSE,0.952333276090212,1000
mfeat-morphological,bacc,0.2745,0.7255,0.663690201331291,0.969216666666667,0.70004786552826,0.231641083490104,FALSE,0.995312614692375,1000
mfeat-pixel,bacc,0.018,0.982,0.191276974440042,0.999838888888889,0.980086913963092,0.099555715918541,FALSE,0.968638899736106,1000
mfeat-zernike,bacc,0.214,0.786,0.731361737637996,0.976888888888889,0.762726251607124,0.148563864873722,FALSE,0.872221542545594,1000
mnist_784,bacc,0.0249142857142857,0.974894725116534,0.196813473824199,0.99978243674317,0.972313843133462,0.0755556467920542,FALSE,0.991428567119874,1000
nomao,bacc,0.0295371954483287,0.963016655502893,0.0924901840206817,0.994230282401306,0.927554574908955,0.412504479754716,FALSE,0.948925116308965,1000
numerai28.6,bacc,0.478602574750831,0.520791662657117,0.692050468735256,0.527033734916361,0.0418775967405504,0.27438676962629,TRUE,0.136807307437994,1000
optdigits,bacc,0.0129893238434164,0.987019105365294,0.175258212449557,0.999886077244508,0.985597485530487,0.138194870902225,FALSE,0.907142374431714,1000
ozone-level-8hr,bacc,0.0655037191497308,0.63571395330284,0.223676898061708,0.879309825195901,0.345290352842145,0.903297318611294,FALSE,0.991822658432648,1000
pc1,bacc,0.0622194922194922,0.664014323055585,0.294836685365595,0.861833191080764,0.422812022750898,0.691719090333208,FALSE,0.874547094246373,1000
pc3,bacc,0.120276008492569,0.647833713272543,0.551138425654499,0.816157706433637,0.318275503050426,0.958711249521002,FALSE,0.994379812385887,1000
pc4,bacc,0.087094945677846,0.757130821078431,0.233533559714794,0.939208026960784,0.563893143370119,0.76669675973244,FALSE,0.875567409070209,1000
pendigits,bacc,0.00654967325667963,0.993505825679868,0.071594412424829,0.999934051026123,0.992730252994365,0.168966822791845,FALSE,0.927676012343727,1000
phoneme,bacc,0.0832655576093654,0.89704877900426,0.241213029702124,0.967300777630402,0.798675165281801,0.376350299920887,FALSE,0.99018524128478,1000
qsar-biodeg,bacc,0.123207547169811,0.854014837819186,0.316475792123848,0.93138851095994,0.72194913769979,0.802171152783558,TRUE,0.722780316811986,1000
riccardo,bacc,0.00375,0.9975,0.125777737940495,0.999278466666667,0.990107415925592,0.00388964894227684,FALSE,0.61212552615907,1000
robert,bacc,0.5208,0.480026156177031,1.66371503626696,0.907820185681417,0.422064636592879,0.38143941317685,TRUE,0.849351698486134,1000
satimage,bacc,0.0741835147744946,0.902609320799894,0.229841593671894,0.993979721762784,0.908634038035298,0.185831018490717,FALSE,0.990507381712086,1000
segment,bacc,0.0562770562770563,0.943722943722944,0.173949827924222,0.996611132974769,0.934546070304662,0.211167397210374,FALSE,0.700579867255874,1000
semeion,bacc,0.0451926100628931,0.95469362745098,0.571665914506007,0.999196929466231,0.950136334349459,0.0178189792204648,FALSE,0.77872740845196,1000
shuttle,bacc,5.17241379310345e-05,0.982854009337887,0.000655917522113499,0.999998931110042,0.999854546970898,0.329430342186242,FALSE,0.915020151808858,1000
sick,bacc,0.0214769904425077,0.927851355863009,0.0703493361192222,0.985007400910828,0.822792721510447,0.988182614091784,TRUE,0.591419062204659,1000
spambase,bacc,0.0432462510610205,0.952453903082261,0.153799353792824,0.987532771936,0.909398319885999,0.0898546369280666,FALSE,0.995462679676712,1000
splice,bacc,0.0407523510971787,0.958682444519477,0.172912515589346,0.995609869148769,0.934490646058987,0.219224233413115,FALSE,0.979748060042039,1000
steel-plates-fault,bacc,0.187026169706582,0.821387639191628,0.563811275924676,0.980245512325393,0.758770186912019,0.334371395641938,FALSE,0.946199926780537,1000
sylvine,bacc,0.0495709216617934,0.950429383511673,0.141970771162498,0.985517435036745,0.902484399577546,0.530331942718476,FALSE,0.864406445459463,1000
tic-tac-toe,bacc,0.0157017543859649,0.977406417112299,0.162079015670773,0.999662295677476,0.965801093701613,0.399105149321258,FALSE,0.953332813852467,1000
vehicle,bacc,0.227002801120448,0.775400432900433,0.483139881643136,0.935157421216034,0.698449049821528,0.727069776039571,FALSE,0.875170238455758,1000
volkert,bacc,0.292557022809124,0.61687507397516,0.884632505877292,0.964694490722626,0.653761149447481,0.444847643142566,FALSE,0.998337781219743,1000
wall-robot-navigation,bacc,0.00329771146284908,0.995173369194173,0.01499419179601,0.999960059294544,0.995038500145517,0.64690896612592,TRUE,0.785029921960086,1000
wdbc,bacc,0.0281015037593985,0.969859307359307,0.161344155353359,0.989720676149248,0.940979296754879,0.221620551776141,FALSE,0.915957691357471,1000
wilt,bacc,0.0169442875964615,0.922331586494104,0.0663920797339684,0.987555920797323,0.835610295066357,0.841473837615922,FALSE,0.827210665727034,1000
APSFailure,logloss,0.00551315789473684,0.880073661651348,0.022315831208491,0.991702954935764,0.833921958726795,0.192984863417223,FALSE,0.876846417295747,1000
Amazon_employee_access,logloss,0.0533126597743626,0.573663014136271,0.164068025271326,0.850078136077685,0.304258067133275,0.211434379918501,FALSE,0.960127790155821,1000
Australian,logloss,0.142028985507246,0.85789517217361,0.313413693358946,0.941994979176643,0.716962968057147,0.437036251882091,TRUE,0.91404999261722,1000
Bioresponse,logloss,0.191149645390071,0.806576040002517,0.431056180034043,0.883857166334787,0.614716168911472,0.142440967261791,FALSE,0.900218555494212,1000
CIFAR_10,logloss,0.502933333333333,0.497066666666667,1.56326647381519,0.916224891975309,0.441710270827817,0.289098196430132,FALSE,0.963225734443404,1000
Fashion-MNIST,logloss,0.107957142857143,0.892042857142857,0.333151618659565,0.994933532879819,0.880217119587431,0.178464416181669,FALSE,0.994719930738211,1000
GesturePhaseSegmentationProcessed,logloss,0.300515404714733,0.634876396551061,0.838771543881065,0.93585377989771,0.603811525980188,0.5211660284549,FALSE,0.997445980878547,1000
Internet-Advertisements,logloss,0.0225675020511673,0.933974714770274,0.0805652333795408,0.985410371055607,0.904029705328217,0.0359365730546415,FALSE,0.942003044579178,1000
KDDCup09_appetency,logloss,0.0178,0.5,0.0769037724563929,0.814034419407019,0,0.306744375266135,FALSE,0.949238007934764,1000
MiceProtein,logloss,0.0148148148148148,0.985869130869131,0.175511265477216,0.999836659938701,0.983182370953767,0.524613501736894,FALSE,0.985095856129192,1000
PhishingWebsites,logloss,0.0269557248410562,0.971813612192799,0.0640697824233239,0.997512586326567,0.945446161620844,0.36362101091072,FALSE,0.993823526008055,1000
adult,logloss,0.133409725907167,0.778412725111433,0.292883097454127,0.91912607308169,0.610899264797413,0.215343510732055,FALSE,0.787242020200938,1000
analcatdata_authorship,logloss,0.0178151260504202,0.979344329801813,0.0989170974654282,0.999446134775749,0.974455316364213,0.525618017883971,FALSE,0.99811320216395,1000
analcatdata_dmft,logloss,0.779082278481013,0.21671398046398,1.7438422676886,0.628077672505557,0.0610751131946768,0.574364042375237,TRUE,0.208319973386824,1000
balance-scale,logloss,0.142396313364055,0.620402298850575,0.403399469820653,0.898873789706132,0.748899061882732,0.962850797222927,FALSE,0.379771164059639,1000
bank-marketing,logloss,0.0932516309705526,0.703787054744196,0.199694450068358,0.932410111412075,0.485624940609234,0.259643851779401,FALSE,0.880363284912892,1000
banknote-authentication,logloss,0.00582883740611446,0.994430375491635,0.0194861622237873,0.999871418486604,0.988317417694516,0.662222520681098,FALSE,0.920981035078876,1000
blood-transfusion-service-center,logloss,0.208558558558559,0.615961472308222,0.472473108809947,0.758479532163743,0.321911775748969,0.979348157765344,TRUE,0.11388136476744,1000
breast-w,logloss,0.0300414078674948,0.970102657004831,0.0898649383078593,0.994397987117552,0.934842794903083,0.164555405499414,FALSE,0.790465368027799,1000
